State of Residence,State of Residence Code,Age of Mother,Age of Mother 13 Code,Births
New Mexico,35,Under 15 years,15-,16
New Mexico,35,15 years,15,36
New Mexico,35,16 years,16,101
New Mexico,35,17 years,17,194
New Mexico,35,18 years,18,391
New Mexico,35,19 years,19,558
New York,36,Under 15 years,15-,63
New York,36,15 years,15,154
New York,36,16 years,16,324
New York,36,17 years,17,652
New York,36,18 years,18,1295
New York,36,19 years,19,2341
North Carolina,37,Under 15 years,15-,59
North Carolina,37,15 years,15,127
North Carolina,37,16 years,16,378
North Carolina,37,17 years,17,756
North Carolina,37,18 years,18,1436
North Carolina,37,19 years,19,2471
North Dakota,38,16 years,16,15
North Dakota,38,17 years,17,47
North Dakota,38,18 years,18,95
North Dakota,38,19 years,19,160
Ohio,39,Under 15 years,15-,69
Ohio,39,15 years,15,159
Ohio,39,16 years,16,395
Ohio,39,17 years,17,759
Ohio,39,18 years,18,1437
Ohio,39,19 years,19,2517
Oklahoma,40,Under 15 years,15-,38
Oklahoma,40,15 years,15,83
Oklahoma,40,16 years,16,200
Oklahoma,40,17 years,17,400
Oklahoma,40,18 years,18,762
Oklahoma,40,19 years,19,1301
Oregon,41,Under 15 years,15-,10
Oregon,41,15 years,15,27
Oregon,41,16 years,16,81
Oregon,41,17 years,17,163
Oregon,41,18 years,18,298
Oregon,41,19 years,19,564
Pennsylvania,42,Under 15 years,15-,57
Pennsylvania,42,15 years,15,138
Pennsylvania,42,16 years,16,315
Pennsylvania,42,17 years,17,598
Pennsylvania,42,18 years,18,1051
Pennsylvania,42,19 years,19,1932
Rhode Island,44,16 years,16,23
Rhode Island,44,17 years,17,39
Rhode Island,44,18 years,18,76
Rhode Island,44,19 years,19,126
South Carolina,45,Under 15 years,15-,44
South Carolina,45,15 years,15,99
South Carolina,45,16 years,16,225
South Carolina,45,17 years,17,484
South Carolina,45,18 years,18,845
South Carolina,45,19 years,19,1419
South Dakota,46,15 years,15,18
South Dakota,46,16 years,16,36
South Dakota,46,17 years,17,78
South Dakota,46,18 years,18,117
South Dakota,46,19 years,19,220
Tennessee,47,Under 15 years,15-,71
Tennessee,47,15 years,15,129
Tennessee,47,16 years,16,335
Tennessee,47,17 years,17,685
Tennessee,47,18 years,18,1234
Tennessee,47,19 years,19,2106
Texas,48,Under 15 years,15-,243
Texas,48,15 years,15,639
Texas,48,16 years,16,1534
Texas,48,17 years,17,3179
Texas,48,18 years,18,5640
Texas,48,19 years,19,9214
Utah,49,15 years,15,32
Utah,49,16 years,16,83
Utah,49,17 years,17,164
Utah,49,18 years,18,300
Utah,49,19 years,19,579
Vermont,50,17 years,17,24
Vermont,50,18 years,18,32
Vermont,50,19 years,19,61
Virginia,51,Under 15 years,15-,26
Virginia,51,15 years,15,99
Virginia,51,16 years,16,200
Virginia,51,17 years,17,380
Virginia,51,18 years,18,813
Virginia,51,19 years,19,1493
Washington,53,Under 15 years,15-,23
Washington,53,15 years,15,57
Washington,53,16 years,16,147
Washington,53,17 years,17,306
Washington,53,18 years,18,556
Washington,53,19 years,19,1097
West Virginia,54,Under 15 years,15-,11
West Virginia,54,15 years,15,34
West Virginia,54,16 years,16,52
West Virginia,54,17 years,17,133
West Virginia,54,18 years,18,236
West Virginia,54,19 years,19,484
Wisconsin,55,Under 15 years,15-,30
Wisconsin,55,15 years,15,53
Wisconsin,55,16 years,16,141
Wisconsin,55,17 years,17,290
Wisconsin,55,18 years,18,501
Wisconsin,55,19 years,19,866
Wyoming,56,15 years,15,10
Wyoming,56,16 years,16,18
Wyoming,56,17 years,17,27
Wyoming,56,18 years,18,67
Wyoming,56,19 years,19,166
